name,description,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
Barack Obama,"Official portrait, 2012",-0.07330650799999999,0.072975732,0.036408644,-0.068589501,-0.013949842,0.010148656,-0.049087651,-0.094894782,0.208522901,-0.104526699,0.242427871,0.095354237,-0.212426767,-0.116593294,0.074026391,0.099060841,-0.181986555,-0.031631105,-0.084347554,-0.104699112,0.038827576,-0.008835883000000001,0.109878987,-0.035466608,-0.103676602,-0.35503819600000003,-0.086337186,-0.148660764,0.05113538,-0.081940368,-0.05785954,-0.0015062970000000002,-0.168495387,-0.104643576,0.00466083,-0.031630121000000004,-0.052840963,-0.05295226,0.238116205,0.0061200790000000005,-0.113452576,0.06981042,0.019782715,0.17882019300000002,0.27212503600000004,0.040763177000000005,0.000600597,-0.085559286,0.138458654,-0.256288022,0.074024118,0.121039703,0.08688057199999999,0.063154578,0.083346844,-0.181538209,0.020307004,0.077593893,-0.191685557,0.031074962,0.051029023,-0.086824924,-0.073300168,0.039311673,0.215938732,0.140426427,-0.114909351,-0.09936855,0.128882855,-0.051555172,0.038787067,0.029789731,-0.194427654,-0.20399493,-0.222883895,0.08979500800000001,0.321444243,0.170478955,-0.165593028,0.001788558,-0.199240848,0.046270069,0.072852209,0.004458265,-0.06202314,-0.121742755,-0.0179845,0.029771952,0.093144149,-0.008365326999999999,-0.069430515,0.261812538,0.003077478,0.074440978,0.011747351,0.040289536,-0.105331078,-0.039210495,-0.166166857,-0.038437031,0.05645936,-0.079919212,0.067138106,0.148294628,-0.248675406,0.103205316,-0.013483152,-0.006231581,0.079498485,0.00145913,-0.056074567,-0.030956911,0.084632143,-0.26772564600000004,0.257837713,0.230407596,0.045002703,0.174503908,0.059996158,0.031390324,-0.012461867,-0.008681656,-0.177753493,-0.020886889,0.027018722,0.0761768,0.02980007,0.027453994
Donald Trump,"45th President of the United States January 20, 2017",-0.117319755,0.10658098,0.0029871890000000003,0.035111427,-0.13850875199999998,-0.019852312,0.050916333,-0.194598347,-0.006763831,-0.062006142,0.16716331199999998,-0.092818879,-0.36068207,-0.105661809,0.051351376,0.101637483,-0.16994299,-0.142838359,-0.158187479,-0.103898652,0.009085579,-0.025743295,-0.038576443,-0.050297026,-0.111994199,-0.21270135,-0.057908438,-0.104595348,0.004355647,-0.049631462,0.106716983,0.013894739,-0.242251113,-0.093572393,0.020653866,0.047043938,-0.097109459,-0.084100336,0.1185572,-0.019400414,-0.145898744,-0.012141148,0.068346024,0.22873655,0.188573703,0.021161163,-0.027965447,-0.08736255,0.109315835,-0.249510184,-0.030195782,0.140714511,0.119044192,0.131589606,0.019445347,-0.14229594199999998,0.105073214,0.119558796,-0.242689028,0.025213746,0.119326226,-0.14299984300000002,-0.013824029,-0.050509598,0.145465657,0.083140224,-0.029209325,-0.133129865,0.230465829,-0.201926857,-0.133473918,0.036592156,-0.056432061,-0.136153802,-0.311343759,-0.012663402,0.366886675,0.170150802,-0.138632119,-0.09477938,-0.08598996699999999,-0.009115383,0.038143296,0.037852626,-0.040576771,-0.102724195,-0.08567068,-0.004548781,0.222049743,-0.062541388,-0.001918496,0.228022128,0.052896008,-0.110148944,0.06648707400000001,-0.030198937,-0.099938497,-0.033735964,-0.101488166,-0.076537885,-0.014011956,-0.212317273,0.053974595,0.13698670300000002,-0.170035198,0.185975969,-0.01084968,-0.008690193,-0.048293371,-0.092978999,-0.008614241,0.05864059200000001,0.149299458,-0.220812246,0.24812226,0.216776654,6.26e-05,0.086249039,0.009599889,0.086114094,-0.08363656,-0.038684439,-0.191746488,-0.178456306,-0.010482724,0.016900308,-0.010033382,0.038783807
George W. Bush,"2003, 43rd President of the United States",-0.034570765,0.144109994,0.008330441,-0.01843649,-0.164198011,0.045001991,-0.056875564,-0.063012972,0.018656258,0.046525888,0.227296993,-0.08641234800000001,-0.265547305,-0.040620819,-0.029669549,0.14537102,-0.034661852,-0.073809259,-0.189828247,-0.07417158,-0.07801187,-0.006152816,0.064049572,-0.025133833,-0.08485744099999999,-0.31647566,-0.015793832,-0.061992627,0.067228571,-0.098960146,-0.042914763,0.052638069,-0.29351145,-0.061085306,0.030261423,0.071327448,-0.079650551,-0.020262443,0.230342984,0.006026128,-0.137552053,0.070439816,0.119972192,0.19151920100000006,0.163323313,0.063642055,0.037438132,-0.015848771,0.113819905,-0.234875247,0.043501905999999986,0.133069351,0.135024875,0.075848252,0.046653271,-0.118553273,-0.006917643,0.150799572,-0.157447249,0.031223819,-0.013955707,0.001841842,-0.105799347,-0.125988886,0.264258802,0.119431645,-0.063646458,-0.129143283,0.17019984100000002,-0.11130552,-0.016898954,0.086154409,-0.05301512,-0.102747105,-0.286465526,0.09055458,0.2755588,0.064955771,-0.217095107,-0.014906447,-0.034721613,-0.075308517,-0.037295576,-0.054484382000000005,-0.08875532400000001,-0.016839255,-0.082652524,-0.02096663,0.292979687,-0.116011202,0.061454434,0.20157589,0.033448644,0.014446977,-0.006516722,0.057548832,-0.119634531,-0.084966272,-0.14747934,-0.007116678,0.038268872,-0.151472673,-0.042751286,0.06448852299999999,-0.22142455,0.077546075,-0.033853032000000005,-0.06536284099999999,-0.035625875,0.003917125,-0.056072868,-0.064238444,0.16798993899999998,-0.259192407,0.268950731,0.166678876,-0.06013253,0.045910992000000005,0.102421351,0.066474214,0.007186966,0.034684971,-0.090270385,-0.209234342,0.076958574,-0.052600469,-0.059292395,0.058161076
George H. W. Bush,"41st President of the United State, 1989",-0.027829971,0.16055834300000002,0.065793142,0.024432277,-0.085387848,0.050358295,-0.045623425,0.007928577,0.043186713,-0.11725866,0.291143209,-0.048633624,-0.334232539,-0.028563954,-0.081334732,0.177514851,-0.09797284,-0.040621437,-0.202631176,-0.114553355,-0.057189196,0.03079816,-0.010742508,-0.09993612,-0.068970665,-0.28697443,-0.029986326,-0.039432339,0.105580196,-0.191477954,0.008224912,0.041585453,-0.200041965,-0.023482952,0.006808621,0.019826241,-0.093429588,-0.06161448,0.206625655,0.041995231,-0.121942081,0.086377099,0.044268869,0.257675409,0.25100708,-0.028104912000000003,-0.006308481,-0.071277514,0.097362652,-0.286194503,0.026167434,0.124396168,0.158707023,0.13417874300000002,0.087352924,-0.062615126,-0.021164715,0.128060475,-0.136692882,0.006999722,0.029947329,-0.074065618,-0.07389994700000001,-0.057027950999999986,0.111413747,0.022998456,-0.077497132,-0.148275852,0.265590727,-0.165438205,-0.011558398,0.105317622,-0.004647084,-0.114383116,-0.24015151,0.116113961,0.287814528,0.16822279999999998,-0.12650241,0.024245327,-0.023568965,-0.141378656,-0.06108591,0.020207539,-0.058921635,-0.118487656,-0.0014280920000000002,0.068394363,0.237906605,-0.068530753,0.002755203,0.187301263,0.0029533640000000004,-0.066058718,0.023944765,0.00914616,-0.11397174,-0.093708076,-0.127525881,-0.044684023,0.011337908,-0.205871984,-0.06711828,0.077015594,-0.163510442,0.17356218399999998,-0.054478612,-0.069277167,0.023603627,-0.01953185,-0.046197578,0.066918403,0.193219572,-0.24127598100000006,0.26561275100000004,0.170959115,0.031574305,0.036649235,0.123745993,0.046171609,0.047048319000000005,-0.046904322000000005,-0.141353294,-0.245563582,-0.012442192,-0.044299297,-0.02776039,-0.008988207
Xu Jin Jiang,"Actor, Painter",-0.17739701300000002,0.08560617300000001,0.08973430800000001,-0.041364193,-0.031366911000000004,-0.095393836,0.006831845,-0.093006641,0.141848058,-0.060083427,0.247797042,0.01068868,-0.173481539,-0.125125617,-0.064695835,0.143452197,-0.151016042,-0.104626954,-0.10742636,-0.061339408,0.075251818,0.031017071,0.108565666,-0.047972735,-0.007966476,-0.328837097,-0.094002768,-0.039808623,0.090686038,-0.073208392,0.061462253,-0.045666974000000006,-0.25351125,-0.134123594,0.011808201,0.089772105,-0.053900495,-0.08860776599999999,0.207756698,-0.003990308,-0.159822986,-0.003910984,0.07705210900000001,0.28004744600000003,0.13433519,0.088316359,0.00167492,-0.158013195,0.08795540800000001,-0.139145881,0.082546011,0.109227233,0.06689748200000001,0.048172705,0.063013658,-0.134792015,0.095108941,0.105269805,-0.15055318199999998,0.012299655,0.086692542,-0.008165464,-0.060538068,-0.059425641,0.221825525,0.04114927,-0.101723894,-0.186687931,0.125509113,-0.08284554599999999,-0.046941455,0.069123164,-0.106981277,-0.133887604,-0.282087326,0.045618467,0.405878216,0.03114843,-0.146209717,0.04871393,-0.090490133,-0.032935817,0.08409147,0.142976031,-0.07500653,0.057461418,-0.105146714,-0.02428486,0.137890726,-0.016533851999999998,-0.098649107,0.159941971,0.008907525,0.017421073999999998,0.034952469,0.016990773,-0.118306935,0.085882515,-0.166668743,-0.058629841,0.102387704,-0.063776031,-0.028328856,0.080986865,-0.149829224,0.118366614,0.02884499,0.015402616,0.039223254,-0.036987595,-0.113762781,-0.055731542,0.08070948,-0.234712541,0.266034663,0.208676338,0.046733629000000006,0.149654612,0.179046363,0.110628575,0.037186883,0.073251754,-0.168936476,-0.044401724,0.02657713,0.009283971,0.098971009,0.043563452
Chris Hemsworth,"Australian actor, 2019",-0.115545824,0.21370858,0.07526817200000001,-0.046878848,-0.15786683599999998,-0.074586123,-0.067482971,-0.080926456,0.092493206,0.060756844,0.274994344,-0.044585016,-0.285660744,-0.006391689,-0.082211815,0.058495395,-0.203587949,-0.073839135,-0.042987645,-0.051150937,0.06272823400000001,0.057033893,0.088931464,0.084545106,-0.028732836,-0.34001833200000003,-0.045491807,-0.064993627,0.157462895,-0.137890339,0.001197366,0.075627051,-0.26189279600000004,-0.143337846,0.008044624,0.057772454,-0.092198409,-0.134555072,0.218339458,-0.004740427,-0.06099132400000001,-0.007301236999999999,-0.008300455,0.313303024,0.144239321,0.049839154,-0.014750008,-0.071444452,0.072212525,-0.226746142,0.095980041,0.238452911,0.123906627,0.094719991,0.008288528,-0.195391327,0.0960894,0.15666361199999998,-0.263485968,0.11436601,0.08717183,-0.067089148,0.046288427,-0.12817727,0.215453148,0.093831263,-0.060218342,-0.123395063,0.102874987,-0.090196975,-0.042581294000000006,0.121099487,-0.111887798,-0.167004213,-0.199513137,0.038337894,0.279973835,0.155382007,-0.184643999,-0.054839119000000006,-0.11330878,-0.066296294,0.041732669,-0.032063272000000004,-0.098665789,-0.106571823,-0.161806643,0.014948294,0.179380879,0.01672047,-0.113065526,0.281651199,0.017864194,0.01191539,0.070544071,0.028515445,-0.113554612,0.027690263,-0.122730561,0.033173006,-0.011557878,-0.183727115,-0.104661219,0.076092109,-0.14790225,0.079620428,0.029556897,0.030171886,-0.03482563,-0.101470254,-0.189306125,-0.03095335,0.216599733,-0.302618533,0.368318141,0.176257625,0.096388951,0.152733147,0.059202656,0.032687139,0.002828016,-0.12126153,-0.095832221,-0.101588674,0.108944468,-0.061602257,0.041123763,0.040648486
Bill Clinton,"1993, 42nd President of the United States",-0.044622429000000005,0.107115977,0.042677052,0.011603173,-0.127086416,0.034864001,-0.027793061,-0.104585424,0.028220454,-0.054291867,0.124944717,-0.027265508,-0.251641989,-0.047201049,0.003141131,0.112602234,-0.081565581,-0.145090818,-0.109461002,-0.097417898,-0.003700868,0.05749429,-0.08798594800000001,-0.023512522,-0.152212054,-0.253112495,-0.047737602,0.005419809,0.022835925,-0.059059516,0.082801729,0.080760427,-0.191455513,-0.01573851,0.008491119,0.07316415,-0.089258894,-0.041813463,0.107228823,0.06059863,-0.171333134,0.041778654,0.033260461,0.298853248,0.25898909600000003,0.065203108,0.016620848,-0.049654525,0.054865270999999986,-0.287740052,0.066390738,0.114143498,0.073326692,0.135622352,-0.052302592,-0.128054723,0.039693523,0.117121503,-0.204445988,0.031572059,0.092165425,-0.198673934,-0.047233082,-0.00655045,0.19962132,0.08387299599999999,-0.039374281,-0.14124958199999998,0.215259209,-0.189680189,-0.117129631,0.052387428,-0.02927555,-0.097570211,-0.282264024,0.098288573,0.400139064,0.175583482,-0.155147761,0.007900208,-0.07123205099999999,0.071872331,0.107622869,0.013753018999999998,-0.018817751,-0.164000854,-0.08124255400000001,0.007986885,0.254190534,-0.029273294,-0.061205283,0.20167397,0.08134067099999999,-0.069630854,0.068632424,0.036930051,-0.047685619000000005,0.019984441,-0.067950681,-0.092286289,0.084619112,-0.08214983299999999,0.080866776,0.144584283,-0.180037215,0.325012326,0.010740051,0.039926603,0.112669587,-0.031767946,-0.03076552,0.004241159,0.17558158899999998,-0.254112452,0.215517595,0.147713244,0.021840621,0.143776879,0.06953448799999999,0.137211666,-0.03291573,-0.064362697,-0.181291461,-0.122612074,0.043527801,-0.001171904,0.054020125,0.09792655
Alexandra Ciubuc,Student Polytech 1,-0.111010991,0.03093797,0.13944669099999998,-0.095361382,-0.10287232,-0.0100585,-0.075602487,-0.127314225,0.196373865,-0.213425428,0.16626843800000002,0.026589312,-0.191550776,0.125982121,-0.05891557,0.191000491,-0.13495563,-0.1071444,-0.078549512,-0.073889375,0.01953011,0.136181802,0.030605709,0.032258734,-0.052209988,-0.30515891300000003,-0.081211999,0.020723831,0.054678552000000005,0.023196395,-0.036649648,0.051919516,-0.20498921,0.033310622000000005,0.025330056,0.126224861,-0.080056302,-0.133437052,0.183569148,0.013525073,-0.26717239600000003,-0.090671659,0.07590124,0.156022057,0.211577967,0.009652982,0.02090936,-0.10896346,0.139535621,-0.290632486,0.059993543,0.148941919,0.024644673,0.092895821,0.014916221,-0.187310815,0.022763368,0.17116625600000002,-0.137533724,0.025729395,0.140095115,-0.052835207,0.014491937,-0.070408978,0.219890952,0.15336266199999998,-0.149887636,-0.197390094,0.233434469,-0.198734522,-0.094192736,0.055397347,-0.154933512,-0.165959477,-0.334866166,-0.022188049,0.371088386,0.161631331,-0.035358034,0.008190665,-0.063756853,0.036169469,0.01300007,0.118607566,-0.072555587,-0.004793391,-0.048730131,-0.017428193,0.266204983,0.057133455,-0.075117469,0.241189197,-0.001494446,0.009854927,-0.013628376,0.152437717,-0.109228939,-0.065196268,-0.193846047,-0.020692293,-0.058110259,-0.017979195,0.011663888,0.274852484,-0.199695796,0.250385046,-0.117259301,0.031140614,0.029646389,0.053015329000000014,-0.099030055,-0.054726768,0.12844035,-0.12466684,0.117358021,0.16293370699999998,0.099327199,0.13318127400000002,0.10449262,0.134452805,-0.018180324,-0.014873991,-0.269460052,-0.105461337,0.00950045,-0.053017933,0.03836314,0.12070138
Andrei Stuparu,Student Polytech 2,-0.074951954,0.01507933,0.009177212,-0.08345944400000001,-0.085458547,-0.106222607,0.015352461,-0.012012847,0.043897286,-0.088727683,0.232177228,-0.051963288,-0.272946179,-0.097206131,-0.013291198,0.11118985,-0.135692164,-0.13143354699999998,-0.108716637,-0.120278761,0.042229887,0.106760032,-0.041825108,0.065583229,-0.163390011,-0.33653482799999995,-0.044444598,-0.096204109,-0.082498692,-0.116780348,0.009556212,0.145229802,-0.126439154,-0.046794854,0.094891876,0.043133467,-0.045581128,0.009798038,0.19200848,0.096289881,-0.187390625,0.003350605,0.061526202,0.406653523,0.188336223,0.022863263,-0.039045926,-0.019763399,0.106223546,-0.30581215,0.122430839,0.152419835,0.117549323,0.039520949,0.089569442,-0.087613232,-0.00291883,0.136078805,-0.281197101,0.019242581,0.041623794,-0.146756411,-0.066588648,-0.118593708,0.129046649,0.063515373,-0.136219487,-0.053209193,0.144346654,-0.182139859,-0.061062165,0.071339339,-0.09910845,-0.214243308,-0.253946245,0.070575371,0.322615385,0.219176278,-0.156066835,0.002297368,-0.021339666,-0.031874105,0.112629563,0.0017349689999999998,-0.062519521,0.007150253000000001,-0.047517758,0.120043688,0.132378116,-0.00494519,-0.079292417,0.231536627,-0.00596376,-0.031539112,0.101944678,0.005439642,-0.073637888,-0.041675977,-0.167806491,0.000646736,0.029222868,-0.14004384,-0.00269946,0.069722928,-0.16834631600000002,0.16883935,0.00658139,-0.062658437,-0.061725169,-0.045025971,-0.099298574,-0.018480688,0.110570841,-0.242539644,0.161384746,0.163391173,0.077752642,0.173365086,0.024491413,-0.0756789,-0.039126758,-0.159042031,-0.17181126800000002,-0.08625477599999999,0.137862533,0.033102602,0.132202357,-0.027722089
Thomas Cormier,Student Polytech 3,-0.165038556,0.093772359,0.026933871,-0.06877318,-0.055016343,-0.04139293,-0.009057987,-0.06604594,0.157302111,-0.132302299,0.15638165199999998,0.061494499,-0.244945481,-0.025510747,0.066789284,0.087362267,-0.130472541,-0.151780918,-0.148548067,-0.146722481,0.004829204,0.043038554000000014,0.026644962,0.08409654300000001,-0.16527283199999998,-0.32976779300000003,-0.014445635,-0.034002271,-0.006995274,-0.059994321,0.053739149000000014,0.046920873,-0.203181744,-0.009967953,-0.040855207,0.07423494,-0.065291867,-0.03908404,0.221645519,0.017221445,-0.147684321,0.008678436,-0.021789772,0.336843044,0.204824984,-0.000197173,0.072457694,-0.038427521,0.117196172,-0.34642747,0.094311029,0.142594591,0.069247998,0.031041533,0.017882541000000002,-0.188872114,-0.009175153,0.132365763,-0.134991735,0.147521719,0.069496088,-0.122501373,-0.058917582,-0.067532532,0.241424486,0.099513963,-0.186028063,-0.06256046900000001,0.107796192,-0.16264981,-0.035824987999999995,0.043235481,-0.124864437,-0.216935918,-0.347128838,0.102913894,0.345145524,0.16730889699999998,-0.181843072,-0.049208615,-0.110816196,0.08607591699999999,0.064876154,0.077040859,-0.141233146,-0.094820417,-0.114899956,0.085262604,0.255643487,0.069443867,-0.14493899,0.254949301,0.081545807,-0.0053220030000000005,5.09e-05,0.09247493,-0.093354017,-0.098455943,-0.129935727,0.059819143,0.04112751,-0.112077706,-0.032792844,0.153821215,-0.192734614,0.2443351,-0.029407911,0.014169497,0.016599878999999998,0.05656839900000001,-0.163742483,-0.072015308,0.129756808,-0.185470581,0.164579585,0.25826883300000003,0.113963842,0.197072968,0.080924198,0.043981083,-0.020657495,0.053549178,-0.158630073,-0.0687133,0.053318024000000006,0.013644807,0.086382076,0.090548597
Michelle Obama,Wife of Barack Obama,-0.12758429300000002,0.015264317,0.047299802,-0.003125473,-0.097283714,-0.037588596,0.01125001,-0.186401039,0.11568173,-0.17726041399999998,0.171563357,-0.12720963400000002,-0.211809456,-0.040972516,-0.027758006,0.163667724,-0.112448588,-0.209886193,-0.05075343,0.027350668,0.02079913,-0.07542590099999999,-0.014252571,0.072653897,-0.050167881,-0.330268711,-0.055985931,-0.122777022,-0.009955206,-0.038991056,-0.000979758,0.076883107,-0.286775291,-0.015086856,-0.082225174,0.015878364,-0.037137087,-0.068400331,0.208653763,-0.086438276,-0.258368164,-0.063485168,0.07436344,0.151649922,0.153907254,-0.054517947,-0.004947795,-0.057630882,0.042216852,-0.321627229,0.00169252,0.051593676,0.107853644,0.057369269,-0.002708826,-0.200445414,-0.008597499,0.032051064,-0.129498065,0.033478566,-0.000705558,-0.025890615,-0.049730472000000005,-0.019354843,0.352715075,0.143887028,-0.074355945,-0.093364835,0.201820269,-0.154003829,0.009976041,0.070821226,-0.078392141,-0.171751648,-0.252561986,0.027448338,0.345583916,0.03741676,-0.181337208,0.061249427,-0.153002888,0.01337132,0.023270044,0.03298131,-0.016940977,0.019024681,-0.068941668,0.005968946,0.246795461,-0.080017745,-0.00027095,0.216451153,-0.009571411,-0.055142373,0.046151839000000014,0.012853616000000002,0.001736745,-0.049664829,-0.182263687,-0.014702685,0.032008465,-0.026065707,-0.039492536,0.128092244,-0.218481287,0.069746628,-0.01664428,-0.059148327,0.03924796,-0.000485111,-0.102117993,-0.07645320900000001,0.10247431,-0.222569928,0.188627675,0.08919198800000001,0.011303782,0.146313518,0.033335924,0.064582348,-0.003618853,-0.016085595,-0.173143938,-0.02642425,0.180906609,0.0015271739999999998,-0.028103478,0.04359103
Melanie Trump,Wife of Donald Duck,-0.100614764,0.199728474,0.057130177,-0.12711072,-0.210937455,-0.01398268,-0.051103264,-0.146915734,0.233256221,-0.048400067000000005,0.174617633,-0.053817026,-0.308417082,0.0013327010000000002,-0.026904989,0.101834156,-0.220550716,-0.141152471,-0.01130182,-0.036575176,0.140961736,0.008598208000000001,0.06160393,0.106349014,-0.156083167,-0.331069648,-0.058799636,-0.090560861,0.060796503,-0.198475257,0.018452285,0.025247587,-0.17077384899999998,-0.02360737,-0.0077029490000000015,0.135769799,-0.030362414,-0.201431006,0.15596516400000002,-0.039124221,-0.248815447,-0.059809774,0.066987336,0.180823296,0.249505952,-0.040765449,0.011749646,-0.10609673,0.128243431,-0.248384431,0.062498122,0.181966096,0.007699234,0.077636585,0.057677347,-0.2211079,0.012064427,0.072432607,-0.250474513,-0.076750442,0.144076169,-0.057887655,-0.047784112,-0.07142248,0.156864166,0.141498342,-0.092874393,-0.207382023,0.134469017,-0.19967092600000005,-0.069907576,0.103139989,-0.1300648,-0.146635786,-0.15011856,0.015212628,0.371870339,0.116463445,-0.126219973,0.028319051,-0.125346288,-0.070371203,-0.052865304,0.059992403,0.031846546,-0.000224647,-0.125169814,0.08584459900000001,0.168885812,-0.08868469300000001,0.044349678,0.262953222,0.045811325,-0.027439162000000003,0.044737678,0.088523954,-0.182054535,0.102050111,-0.135930598,-0.024852218,0.027127931,-0.056009326,-0.038153399,0.06575781900000001,-0.221101269,0.190435871,0.040770732,-0.088402174,-0.056863196,-0.163989991,-0.099132553,-0.00472543,0.204843342,-0.29776513600000004,0.229323909,0.14587333800000002,0.098206393,0.186636806,0.012870516,0.072480559,0.095472731,-0.091209285,-0.107247569,-0.055205137,0.022223702,-0.062580101,-0.043303985,0.007690641999999998
Emanuel Macron,President of France,-0.09911392629146576,-0.02354121208190918,-0.010824107564985752,-0.07216326147317886,-0.1723373830318451,0.03390797600150108,-0.018880357965826988,-0.08881432563066483,0.13380861282348633,-0.0715559720993042,0.187236562371254,0.06814753264188766,-0.308261513710022,-0.05386315658688545,-0.041217342019081116,0.06782665848731995,-0.027716673910617832,-0.11583342403173448,-0.17112545669078827,-0.18088938295841214,-0.015085184946656229,-0.026152988895773888,0.008618134073913097,0.02393702603876591,-0.1419667899608612,-0.14215005934238434,-0.07165707647800446,-0.1646292507648468,0.07404164224863052,-0.15145258605480194,-0.005307986401021481,-0.011031730100512505,-0.11744878441095352,-0.08837782591581345,0.03447934240102768,0.07743657380342484,-0.06923022866249083,-0.10256447643041612,0.24739328026771545,-0.12994377315044406,-0.08463674783706665,0.047308944165706635,0.02769128605723381,0.26752689480781555,0.12021350860595705,-0.01838559471070766,0.08318133652210236,-0.02495191246271133,0.1476445496082306,-0.25002723932266235,0.11604110896587372,0.10528573393821716,0.14095349609851834,0.009146503172814846,0.13703997433185575,-0.22286050021648407,-0.00034491531550884247,0.2693922221660614,-0.14521518349647522,0.1704382747411728,0.029298022389411926,-0.08591127395629883,-0.1006123274564743,-0.1254071444272995,0.22024044394493106,0.09911510348320007,-0.13564397394657135,-0.15238365530967712,0.22087499499320984,-0.1126294955611229,-0.006156062707304954,0.07074188441038133,-0.17274613678455353,-0.1484750658273697,-0.18082210421562195,0.0792609304189682,0.4442497193813324,0.20164206624031067,-0.17918279767036438,0.0659915953874588,-0.12740211188793182,0.006334913894534111,-0.027666930109262463,-0.021423669531941414,-0.04837339371442795,-0.04138030856847763,-0.09005201607942581,0.037652503699064255,0.17670191824436188,-0.03922546654939652,0.007600123994052409,0.17755001783370972,0.06645063310861588,-0.05166761949658394,0.007988808676600456,-0.037320520728826516,-0.13757701218128204,-0.06425242871046066,-0.06528203934431076,0.0027781696990132328,0.0522463321685791,-0.18042264878749847,0.09507787227630617,0.0623278059065342,-0.1524614691734314,0.1442209631204605,-0.037232037633657455,0.029148906469345093,-0.02506440319120884,0.024755757302045826,-0.07988885045051575,0.012894958257675173,0.22966188192367554,-0.30765974521636963,0.2318422794342041,0.170117124915123,0.09258447587490083,0.12294615805149077,0.05728748068213463,0.061613231897354126,0.0554908812046051,0.044619586318731315,-0.1843307912349701,-0.10681138932704927,-0.00496150366961956,-0.06556844711303711,0.056894473731517785,0.12524637579917908
Brigitte Macron,Wife of Macron,-0.042869094759225845,0.08111818134784698,0.13937944173812866,-0.04803517088294029,-0.081772580742836,0.02551998198032379,-0.04117366671562195,-0.06000838801264763,0.12791645526885986,-0.10749077051877975,0.24529139697551727,-0.03347805514931679,-0.28818029165267944,0.00046278350055217743,-0.0655781626701355,0.16501249372959137,-0.22595714032649994,-0.12975572049617767,-0.1075252965092659,-0.010955041274428368,0.047707077115774155,0.06741742789745331,0.0726095661520958,-0.03213266283273697,-0.15143582224845886,-0.35294049978256226,-0.014439824968576431,0.013086608611047268,-0.027395272627472878,-0.12108561396598816,0.03428935259580612,0.12401358038187027,-0.2522244453430176,0.05463527515530586,-0.028247632086277008,0.1398797184228897,-0.10468395054340363,-0.1245313286781311,0.2148934155702591,0.0018469514325261116,-0.21670299768447876,0.05010705068707466,0.025548996403813362,0.22769860923290253,0.2325744330883026,-0.10689876973628998,-0.03284069150686264,-0.03656358644366264,0.04347248375415802,-0.3986194133758545,-0.02184051275253296,0.19480791687965393,0.046084702014923096,0.152696892619133,0.0039016641676425934,-0.1369965523481369,-0.015893597155809402,0.15206953883171082,-0.1707392781972885,0.012852918356657028,-0.08118236809968948,-0.15740977227687836,-0.0067978594452142715,-0.06747354567050934,0.1779179871082306,0.12331107258796692,-0.15427544713020325,-0.18806441128253937,0.09596628695726395,-0.1328480839729309,-0.06963153183460236,0.1478080004453659,-0.10181093215942383,-0.1961282640695572,-0.2972702383995056,0.016288306564092636,0.299805611371994,0.0383496917784214,-0.2243019938468933,0.0462152361869812,-0.08336687088012695,-0.07052341103553772,-0.0728713646531105,0.1434105783700943,0.02320478856563568,0.0474855937063694,-0.12114596366882324,0.08326561748981476,0.20084644854068756,-0.102924644947052,-0.0848139151930809,0.32804054021835327,0.01721346005797386,0.0022161826491355896,0.05143130570650101,0.10971230268478394,-0.047655120491981506,-0.04196471348404884,-0.18122078478336334,-0.0557209737598896,0.06768126785755157,-0.08299016207456589,-0.09914673119783401,0.11054054647684097,-0.1419859230518341,0.20314648747444153,-0.03210906311869621,-0.03140144795179367,0.0592794232070446,-0.09458579868078232,-0.03909986838698387,-0.03311508148908615,0.17010684311389923,-0.3507901132106781,0.21761935949325562,0.21246255934238434,-0.008954734541475773,0.16386111080646515,0.04348258674144745,0.058522891253232956,-0.01308087632060051,-0.000367005355656147,-0.11889616400003433,-0.08614431321620941,0.012705432251095772,0.053229495882987976,-0.027147803455591202,0.030214253813028336
